KEY,zh,en,ja,fr,de,it,es,ko
Language,Chinese,English,Japanese,French,German,Italian,Spanish,Korean
ConfigFileNotFound,配置文件不存在,Missing configuration file,設定ファイル見つかりませんでした,Missing configuration file,Missing configuration file,Missing configuration file,구성 파일이 존재하지 않습니다.,
InvalidSSID,无效的SSID,Invalid SSID,無効のSSID,Invalid SSID,Invalid SSID,Invalid SSID,Invalid SSID,잘못된 SSID,
InvalidPassword,无效的密码,Invalid password,無効のパスワード,Invalid password,Invalid password,Invalid password,Invalid password,잘못된 비밀번호,
InvalidServerIpAddress,无效的服务器IP地址,Invalid server IP address,無効なサーバーIPアドレス,Invalid server IP address,Invalid server IP address,Invalid server IP address,Invalid server IP address,잘못된 서버 IP 주소,
InvalidServerIpPort,无效的服务器端口,Invalid server port,無効のサーバー?ポート,Invalid server port,Invalid server port,Invalid server port,Invalid server port,잘못된 서버 포트,
InvalidConfigFile,无效的配置文件,Invalid configuration file,無効な配置ファイル,Invalid configuration file,Invalid configuration file,Invalid configuration file,Invalid configuration file,잘못된 구성 파일,
VideoDoesNotExist,影片{0}不存在,The movie {0} doesn't exist,映画は{0}存在しない,The movie {0} doesn't exist,The movie {0} doesn't exist,The movie {0} doesn't exist,The movie {0} doesn't exist,{0} 영화가 존재하지 않습니다.,
ConnectedToServer,连接到服务器（{0}: {1}）,Connect to the server ({0}: {1}),サーバーに接続する（{0}: {1}）,Connect to the server ({0}: {1}),Connect to the server ({0}: {1}),Connect to the server ({0}: {1}),Connect to the server ({0}: {1}),다음 서버에 연결: ({0}:{1}),
DisconnectedFromServer,服务器连接断开（{0}: {1}）,The server connection is disconnected ({0}:{1}),サーバーが接続して切れ（0 0 } 1 } { 1 }、{ }）,The server connection is disconnected ({0}:{1}),The server connection is disconnected ({0}:{1}),The server connection is disconnected ({0}:{1}),The server connection is disconnected ({0}:{1}),서버 ({0}:{1})로의 연결이 중단되었습니다.,
CanNotConnectToServer,无法连接服务器（{0}: {1}）,Unable to connect to server（{0}: {1}）,サーバーが接続できません（{0}: {1}）,Unable to connect to server（{0}: {1}）,Unable to connect to server（{0}: {1}）,Unable to connect to server（{0}: {1}）,Unable to connect to server（{0}: {1}）,다음 서버에 연결할 수 없습니다: ({0}:{1}),
FailedToConnectToServer,连接服务器失败（{0}）,Unable to connect to server ({0}),サーバーに接続する失敗（{0}）を接続して,Unable to connect to server ({0}),Unable to connect to server ({0}),Unable to connect to server ({0}),Unable to connect to server ({0}),다음 서버로의 연결에 실패했습니다: ({0})
FailedToLoadVideo,加载文件失败,Failed to load file,ロードファイルの失敗,Failed to load file,Failed to load file,Failed to load file,Failed to load file,파일 업로드 실패.,
FailedToPlayVideo,视频播放错误 {0},Video playback error {0},ビデオが間違って{0},Video playback error {0},Video playback error {0},Video playback error {0},Video playback error {0},동영상 재생 오류: {0},
UnknownCommand,未知的命令： {0},Unknown command: {0},未知の命令：{0},Unknown command: {0},Unknown command: {0},Unknown command: {0},Unknown command: {0},알 수 없는 명령: {0},
UnknownPlayMode,无法识别的播放模式：{0},Unrecognized playback mode: {0},識別できない放送モード：{0},Unrecognized playback mode: {0},Unrecognized playback mode: {0},Unrecognized playback mode: {0},Unrecognized playback mode: {0},재생 모드를 식별할 수 없습니다: {0},
Application,应用,APP,アプリ,APP,APP,APP,APP,앱,
all,全部,All,すべて,All,All,All,All,모두,
Picture,全景图,Picture,パノラマ,Picture,Picture,Picture,Picture,파노라마,
Video,视频,Video,ビデオ,Video,Video,Video,Video,동영상,
RefreshDone,刷新成功,Updated,成功を更新する,Updated,Updated,Updated,Updated,새로고침 성공!,
Controller_Connected,"手柄已连接\n请长按Home键使射线置中","The controller is connected\nPlease hold down the Home button to re-center","コントローラーを前向きにして、ホームボタンを長押ししてください","La manette est connectée\nVeuillez appuyer longuement sur le bouton d'accueil pour procéder au calibrage","Der Controller ist verbunden.\nBitte drücken Sie zur Kalibrierung die Home-Taste.","Il controller è collegato\nTieni premuto il pulsante Home per riallineare al centro"," El controlador está conectado\nPor favor","컨트롤러가 연결되었습니다.\n홈 버튼을 길게 눌러 중앙을 다시 설정하세요.",
Controller_DisConnected,"手柄已断开\n即将切换到头控模式","Controller has been disconnected\nThe device will now switch to Simple Mode","コントローラーの接続が切りました。シンプルモードに切り替えます。","La manette a été déconnectée\nL'appareil va passer en mode Simple","Der Controller wurde getrennt.\nDas Gerät wird jetzt in den einfachen Modus wechseln.","Il controller è stato scollegato.\nIl dispositivo passerà alla Modalità Semplice"," El controlador se ha desconectado\nPara cambiar al modelo sencillo","컨트롤러가 연결해제 되었습니다.\n수동 모드로 전환합니다...",
Mode_Change,"模式切换","Mode","モード切替","Mode","Mode","Mode","Mode",모드 전환,
More,"更多","More","すべて見る","Plus","Mehr","Altro","Más",더 보기,
Episode,"剧集列表","Episodes","エピソード","Épisodes","Episoden","Episodi","Episodios",시리즈 목록,
Screen_Lock,"视角调整","View Adjust","角度調整","Ajustement de la vue","Anzeigenanpassung","Modifica visualizzazione","Ajustar vista",보기 각도 조정,
Screen_Lock_Toast,"请您选择最舒适的角度，然后按确定键","Please adjust to the most comfortable view, then press OK.","操作しやすい角度を選んで、「確定」ボタンを押して終了します。","Veuillez ajuster de manière à ce que la vue soit agréable, puis appuyez sur OK.","Bitte Anzeige so angenehm wie möglich einstellen und dann OK drücken.","Scegli la visualizzazione più comoda, poi premi OK","Por favor, ajusta la Vista a la más cómoda, luego pulsa OK.","가장 편안한 보기로 조정한 후 확인을 누르세요.",
Scene_Select,"场景选择","Scene Selection","シーン選択","Sélection de la scène","Szenenauswahl","Selezione delle scene","Selección de escenas",장면 선택,
Scene_Default,"默认","Default","既定","Par défaut","Standard","Predefinito","Estándar",기본값,
Scene_Movie,"影院","Cinema","映画館","Cinéma","Kino","Cinema","Cine",영화관,
Scene_Beach,"沙滩","Beach","ビーチ","Plage","Strand","Spiaggia","Playa",바닷가,
Decode_Name,"解码方式","Decoding","暗号解読方法","Décodage","Dekodierung","Decodifica","Decodificación",디코딩,
Decode_Soft,"软解","Software Decoding","ソフト暗号解読","Décodage du logiciel","Software-Dekodierung","Decodifica software","Decodificación de Software",S 디코딩,
Decode_Hard,"硬解","Hardware Decoding","ハード暗号解読","Décodage du matériel","Hardware-Dekodierung","Decodifica hardware","Decodificación de Hardware",하드웨어 디코딩,
Decode_AI,"自动选择","Auto-select","自動選択","Sélection auto","Automatische Auswahl","Selezione automatica","Selección automática",자동 픽업,
Mode_2D,"2D","2D","2D","2D","2D","2D","2D","2D",
Mode_3D,"3D","3D","3D","3D","3D","3D","3D","3D",
Mode_3D_LR,"3D左右","3D SBS","3D左右","3D SBS","3D SBS","3D SBS","3D SBS","3D SBS",
Mode_3D_UD,"3D上下","3D TB","3D上下","3D TB","3D TB","3D TB","3D TB","3D TB",
Mode_360,"360°全景","360°","パノラマ","360°","360°","360°","360°","360°",
Mode_360_LR,"360°左右","360°3D SBS","360°左右","360°3D SBS","360°3D SBS","360°3D SBS","360°3D SBS","360°3D SBS",
Mode_360_UD,"360°上下","360°3D TB","360°上下","360°3D TB","360°3D TB","360°3D TB","360°3D TB","360°3D TB",
Mode_180,"180°全景","180°","パノラマ","180°","180°","180°","180°","180°",
Mode_180_LR,"180°左右","180°3D SBS","180°左右","180°3D SBS","180°3D SBS","180°3D SBS","180°3D SBS","180°3D SBS",
Mode_180_UD,"180°上下","180°3D TB","180°上下","180°3D TB","180°3D TB","180°3D TB","180°3D TB","180°3D TB",
Exit_Toast,"再按一次退出","Press again to exit","再びクリックして終了します","Appuyez encore une fois pour quitter","Zum Beenden erneut drücken","Premi di nuovo per uscire","¡Pulsa otra vez para salir!","종료하려면 한 번 더 누르세요"
Network_Error,"网络请求超时，请检查网络","Timed out, please check your network. ","ネットワーク・リクエストはタイムアウトしました、通信状況をご確認の上、もう一度お試しください","Demande expirée, veuillez vérifier votre réseau ","Zeitüberschreitung. Bitte überprüfen Sie Ihr Netzwerk. ","Richiesta scaduta, riprova. ","Tiempo de espera de red agotado, por favor inténtelo de nuevo","인터넷 요청 타임아웃. 네트워크 상태를 확인하세요.",
Loading,"视频缓冲中","Loading","読み込み中…","Chargement","Wird geladen","Caricamento in corso...","Cargando",동영상 버퍼,
Pixel_Info_SW,"流畅","Smooth","低画質","Fluide","Sanft","Liscio","Suave",부드럽게,
Pixel_Info_SD,"标清","Standard","標準","Standard","Standard","Standard","EStándar",기본,
